Subdomain,IP,Cloudflare
Codedeploy.ap-northeast-2.amazonaws.com,52.95.195.133,false
aatb.ap-northeast-1.amazonaws.com,52.119.218.248,false
aatb.ap-northeast-2.amazonaws.com,52.95.199.244,false
aatb.ap-south-1.amazonaws.com,52.95.86.80,false
aatb.ap-southeast-1.amazonaws.com,15.221.10.184,false
aatb.ap-southeast-2.amazonaws.com,52.119.211.185,false
aatb.eu-central-1.amazonaws.com,52.94.140.149,false
aatb.eu-west-1.amazonaws.com,52.95.127.130,false
aatb.sa-east-1.amazonaws.com,52.94.149.56,false
aatb.us-east-1.amazonaws.com,52.94.233.41,false
aatb.us-east-2.amazonaws.com,52.95.21.147,false
aatb.us-gov-west-1.amazonaws.com,52.119.208.88,false
aatb.us-west-1.amazonaws.com,52.119.178.188,false
aatb.us-west-2.amazonaws.com,52.94.180.207,false
aatp.us-west-2.amazonaws.com,52.119.161.44,false
aatpb.us-west-2.amazonaws.com,52.119.168.79,false
aatpg.us-west-2.amazonaws.com,52.119.161.75,false
acm-internal.us-east-2.amazonaws.com,52.95.16.120,false
acm.eu-west-1.amazonaws.com,54.239.35.112,false
acm.us-east-1.amazonaws.com,52.46.150.61,false
acm.us-east-2.amazonaws.com,52.95.18.108,false
acm.us-west-2.amazonaws.com,54.240.249.190,false
amp.eu-west-1.amazonaws.com,52.94.219.100,false
amp.us-east-1.amazonaws.com,52.94.226.117,false
amp.us-west-2.amazonaws.com,52.94.211.56,false
ans.us-east-1.amazonaws.com,3.239.232.19,false
ap-northeast-1.autoscaling.amazonaws.com,54.240.225.101,false
ap-northeast-1.ec2.amazonaws.com,54.239.96.125,false
ap-northeast-1.elasticmapreduce.amazonaws.com,54.239.96.197,false
ap-northeast-1.queue.amazonaws.com,18.183.37.28,false
ap-northeast-2.elasticmapreduce.amazonaws.com,52.95.193.105,false
ap-northeast-2.queue.amazonaws.com,3.34.228.81,false
ap-south-1.queue.amazonaws.com,15.207.13.23,false
ap-southeast-1.autoscaling.amazonaws.com,52.95.35.192,false
ap-southeast-1.ec2.amazonaws.com,15.221.12.154,false
ap-southeast-1.elasticloadbalancing.amazonaws.com,52.95.35.79,false
ap-southeast-1.elasticmapreduce.amazonaws.com,52.95.35.80,false
ap-southeast-1.monitoring.amazonaws.com,52.119.187.220,false
ap-southeast-1.queue.amazonaws.com,13.251.116.125,false
ap-southeast-2.ec2.amazonaws.com,103.8.174.239,false
ap-southeast-2.elasticmapreduce.amazonaws.com,99.82.184.95,false
ap-southeast-2.queue.amazonaws.com,3.104.83.198,false
api-boavista.us-east-1.amazonaws.com,100.125.67.80,false
api-quicksight.eu-west-1.amazonaws.com,54.239.37.197,false
api-quicksight.us-east-1.amazonaws.com,52.94.224.185,false
api-quicksight.us-west-2.amazonaws.com,52.94.212.48,false
apigateway.ap-northeast-1.amazonaws.com,35.78.35.236,false
apigateway.ap-northeast-2.amazonaws.com,3.37.180.236,false
