Scanning BugHost New Ilped 2025



Created Boychongzen aka Xroot


abc333.esaunggul.ac.id	118.97.153.252	
akademik.esaunggul.ac.id	104.26.7.172	
alumni.esaunggul.ac.id	104.26.7.172	
bem.esaunggul.ac.id	76.76.21.21	
blogs.esaunggul.ac.id	118.97.153.247	
bppi.esaunggul.ac.id	104.26.7.172	
btik.esaunggul.ac.id	172.67.71.127	
cpanel.esaunggul.ac.id	45.77.43.233	
demo.esaunggul.ac.id	163.171.131.197	
devalumni.esaunggul.ac.id	104.26.6.172	
digilab.esaunggul.ac.id	172.67.71.127	
digitallearning.esaunggul.ac.id	104.26.7.172	
dirkeu.esaunggul.ac.id	172.67.71.127	
dspace.esaunggul.ac.id	13.215.132.58	
ekonomi.esaunggul.ac.id	104.26.6.172	
elearning-digital.esaunggul.ac.id	108.137.6.82	
elearning-staging.esaunggul.ac.id	104.26.6.172	
elearning.esaunggul.ac.id	104.26.6.172	
elk.esaunggul.ac.id	110.238.111.41	
emeet.esaunggul.ac.id	149.28.142.204	
emeeting.esaunggul.ac.id	128.199.215.231	
eu-ichs.esaunggul.ac.id	104.26.7.172	
greencampus.esaunggul.ac.id	104.26.6.172	
gt.esaunggul.ac.id	149.28.143.15	
h2h.esaunggul.ac.id	182.16.164.237	
hosting.esaunggul.ac.id	207.148.78.16	
hosting1.esaunggul.ac.id	139.180.138.161	
hosting2.esaunggul.ac.id	94.74.81.153	
hostinghw1.esaunggul.ac.id	159.138.109.91	
hostingjkt1.esaunggul.ac.id	118.97.153.236	
hostingx1.esaunggul.ac.id	139.180.138.161	
humas.esaunggul.ac.id	104.26.6.172	
info.esaunggul.ac.id	104.26.6.172	
internationaloffice.esaunggul.ac.id	172.67.71.127	
islamic-center.esaunggul.ac.id	104.26.6.172	
kampusdigital.esaunggul.ac.id	104.26.6.172	
kelas-ol.esaunggul.ac.id	104.26.7.172	
kelas-staging.esaunggul.ac.id	149.129.239.115	
kelaskaryawan.esaunggul.ac.id	104.26.7.172	
kemahasiswaan.esaunggul.ac.id	104.26.6.172	
kerjasama.esaunggul.ac.id	104.26.6.172	
kerma.esaunggul.ac.id	104.26.7.172	
kk.esaunggul.ac.id	104.26.7.172	
kp.esaunggul.ac.id	172.67.71.127	
kpm.esaunggul.ac.id	104.26.6.172	
lab-kesehatan.esaunggul.ac.id	104.26.7.172	
lab-pusat.esaunggul.ac.id	104.26.6.172	
lab.elearning.esaunggul.ac.id	149.28.129.14	
layanan.esaunggul.ac.id	104.26.7.172	
lbk.esaunggul.ac.id	172.67.71.127	
library.esaunggul.ac.id	104.26.6.172	
lkkpk.esaunggul.ac.id	104.26.7.172	
lspueu.esaunggul.ac.id	104.21.16.1	
mbkm.esaunggul.ac.id	104.26.7.172	
meetme.esaunggul.ac.id	118.97.153.238	
mimse2023.esaunggul.ac.id	104.26.6.172	
monitor-cloud.esaunggul.ac.id	108.137.8.82	
monitor.esaunggul.ac.id	142.132.149.97	
mutu.esaunggul.ac.id	104.26.6.172	
news.esaunggul.ac.id	104.26.6.172	
parents.esaunggul.ac.id	104.26.6.172	
pasca.esaunggul.ac.id	104.26.6.172	
pascasarjana.esaunggul.ac.id	172.67.71.127	
pendaftaran.esaunggul.ac.id	104.26.7.172	
pendidikan.esaunggul.ac.id	172.67.71.127	
penerbitan.esaunggul.ac.id	104.26.6.172	
pmb.esaunggul.ac.id	182.16.164.238	
portal-lspueu.esaunggul.ac.id	104.21.96.1	
portal.esaunggul.ac.id	172.67.71.127	
recruitment.esaunggul.ac.id	172.67.71.127	
sarpras.esaunggul.ac.id	172.67.71.127	
sdm.esaunggul.ac.id	104.26.6.172	
seminar.esaunggul.ac.id	104.26.6.172	
siakad.esaunggul.ac.id	172.67.71.127	
sidang-ol.esaunggul.ac.id	172.67.71.127	
sim-rapat.esaunggul.ac.id	104.26.7.172	
simueu.esaunggul.ac.id	172.67.71.127	
spada.esaunggul.ac.id	104.26.7.172	
sso.esaunggul.ac.id	104.26.7.172	
tesminat.esaunggul.ac.id	172.67.71.127	
ueu-hosting1-sg.esaunggul.ac.id	52.221.120.208	
ueu-hosting2-aws-sg.esaunggul.ac.id	13.215.139.147	
ueu-hosting3-aws-sg.esaunggul.ac.id	13.229.230.89	
ueu-hosting4-aws-sg.esaunggul.ac.id	3.0.183.107	
ujiani.esaunggul.ac.id	172.67.71.127	
webinar-kj.esaunggul.ac.id	118.97.153.236	
webinar-sg.esaunggul.ac.id	45.32.107.122	
webinar-sg1.esaunggul.ac.id	45.32.107.122	
webinar.esaunggul.ac.id	45.32.107.254	
www.esaunggul.ac.id	104.26.6.172	
www.hosting.esaunggul.ac.id	207.148.78.16	
		
